127.0.0.1 - - [04/Apr/2017:16:05:33 +0300] "GET / HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:05:34 +0300] "GET /Test2/dashboard.html HTTP/1.1" 200 9684
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:05:34 +0300] "GET /css/d3.geomap.css HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:05:34 +0300] "GET /Test2/js/app-ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:05:34 +0300] "GET /Test2/js/gauge.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:05:34 +0300] "GET /Test2/js/d3.geomap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:05:34 +0300] "GET /Test2/js/gradientPie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:05:34 +0300] "GET /Test2/js/world.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:05:37 +0300] "GET /favicon.ico HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:05:44 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:05:44 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:05:44 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:05:49 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:05:49 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:05:49 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:05:54 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:05:54 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:05:54 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:05:59 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:05:59 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:05:59 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:06:02 +0300] "GET /css/d3.geomap.css HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:06:04 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:06:04 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:06:04 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:06:10 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:06:10 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:06:10 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [04/Apr/2017:16:06:15 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
